File Name,Summary,Published At,Published Date
Acharya_Agentic_AI_Autonomous_Intelligence.pdf,"Survey of Agentic AI, focusing on autonomous decision-making and multi-agent systems.",IEEE,2024
AEMA_Agentic_LLM_Evaluation_Framework.pdf,"Framework for evaluating agentic LLMs in multi-agent environments.",arXiv,2024
Agentic_AI_Finance_Overview.pdf,"Analysis of Agentic AI applications and frameworks in the financial sector.",IJIREM,2025
Agentic_LLM_Comprehensive_Survey.pdf,"Comprehensive survey of Large Language Model (LLM) based agents.",arXiv,2024
AI_Agent_Predictive_Maintenance_Framework.pdf,"Framework for using AI agents in predictive maintenance within Industry 4.0.",IEEE Access,2024
AI_Predictive_Maintenance_Legacy_Systems.pdf,"Strategies for applying AI-driven predictive maintenance to legacy industrial systems.",Journal of Industrial AI,2023
AIOps_LLM_Era_Survey.pdf,"Review of AIOps evolution and the impact of LLMs on IT operations.",arXiv,2024
AIOps_Log_Anomaly_Detection_LLMs.pdf,"Methods for anomaly detection in system logs using LLMs.",IEEE CNSM,2023
AIOps_Real_World_Challenges.pdf,"Empirical study on real-world challenges in implementing AIOps in production.",ACM SoCC,2022
AIOps_Solutions_Incident_Management.pdf,"Survey of intelligent solutions for alert and incident management in ITSM.",Journal of Network and Computer Applications,2024
AIOpsBecome AI Oops.pdf,"Critique of AIOps implementation failures and how to avoid them.",Communications of the AIS,2023
AIR_Zero_Touch_Code_Maintenance.pdf,"AI-driven framework for autonomous code maintenance and refactoring.",arXiv,2024
Allen-Zhu_Physics_of_Learning_2024.pdf,"Theoretical study on the learning dynamics of deep neural networks.",arXiv,2024
Atieh_Efficient_IT_Operations_Management.pdf,"Strategies for improving IT operations efficiency through automation and ITSM.",Journal of IT Management,2021
Bandi_Rise_of_Agentic_AI_Review.pdf,"Review of the transition from Generative AI to Agentic AI systems.",arXiv,2024
Building_AI_Agents_Autonomous_Clouds.pdf,"Methodology for building autonomous AI agents for cloud infrastructure management.",IEEE Cloud Computing,2024
CoE_Ops_LLM_Experts_AIOps.pdf,"Framework for LLM-based experts in AIOps centers of excellence.",arXiv,2023
DeepLog- Anomaly Detection and Diagnosis from System Logs through Deep Learning.pdf,"Neural network-based system for anomaly detection and diagnosis from system logs.",ACM CCS,2017
Digital_Twin_Multi-Agent_Research_2024.pdf,"Integration of digital twins and multi-agent systems for industrial automation.",Journal of Manufacturing Systems,2024
Effective_IT_Application_Maintenance_Guide.pdf,"Guide for managing and improving IT application maintenance processes.",Journal of Software Maintenance,2014
Evolution_Generative_to_Agentic_AI_Survey.pdf,"Conceptual survey on the evolution from Generative AI to autonomous Agentic AI.",arXiv,2025
Hierarchical_Game_Theoretic_MAS_Decisions.pdf,"Game-theoretic model for hierarchical decision-making in multi-agent systems.",ACM SAC,2023
How_to_Fight_Production_Incidents.pdf,"Empirical study on production incident management in large-scale cloud services.",ACM SoCC,2022
How_Well_Can_LLMs_Negotiate.pdf,"Evaluation framework for the negotiation abilities of LLM agents.",ICML,2024
Human_AI_Collaboration_IT_Support.pdf,"Systematic review of human-AI collaboration in IT support services.",Journal of Sustainable Development and Policy,2025
Hyperautomation_Cloud_Workflow_AI_Integration.pdf,"Analysis of hyperautomation and AI integration in cloud workflow automation.",IJCET,2025
Intelligent_Alert_Incident_Management_Survey.pdf,"Comprehensive survey on intelligent management of alerts and incidents in IT services.",Journal of Network and Computer Applications,2024
IT_Service_Management_Systems_Availability.pdf,"Framework for efficient ITSM to increase information systems availability.",Journal of Information Systems Engineering & Management,2019
ITIL_IT_Service_Support_Process_Reengineering.pdf,"Methodology for reengineering ITIL-based IT service support processes.",Intelligent Decision Technologies,2013
ITSM_Implementation_Review.pdf,"Systematic literature review on implementing IT Service Management and ITIL.",International Journal of Information Management,2013
