keyword,title,authors,year,url,abstract,relevant
Agentic AIOps,A Practical Approach to Defining a Framework for Developing an Agentic AIOps System,"Răzvan Daniel Zota, Corneliu Bărbulescu, Radu Constantinescu",2025,https://doi.org/10.3390/electronics14091775,"The increasing complexity of IT operations necessitates advanced automation to ensure system availability, resilience, continuity, performance, security, and maintainability. Traditional IT management frameworks, such as the Information Technology Infrastructure Library (ITIL), have standardized service management processes, while models like IBM’s Process Reference Model for IT (PRM-IT) have facilitated automation through structured workflows. However, critical tasks, such as incident resolution and problem management, still require significant human intervention. The adoption of development, security, and operations (DevSecOps) introduced standardized remediation playbooks, further enhancing automation. More recently, Generative AI (GenAI) has expanded automation possibilities, opening new avenues for hyper-automated IT operations. This study explored Agentic Artificial Intelligence for IT Operations (Agentic AIOps), an approach that integrates AI-driven agents to autonomously manage IT operations. Our methodology features a framework for designing and developing an Agentic AIOps system that proactively detects anomalies, classifies incidents, and autonomously executes resolution workflows across infrastructure, middleware, data, and applications in complex, heterogeneous Enterprise IT environments. Our findings suggest that such a system can significantly reduce incident response time, enhance predictive maintenance, and enable self-healing IT environments. By leveraging AI agents for real-time decision making, this approach enhances operational efficiency and reduces human workload. We conclude that this Agentic AIOps system represents a transformative step toward fully autonomous IT operations. We outline a framework for defining its architecture and planning its subsequent development, ensuring continuous evolution and adaptability in complex IT landscapes.",Y
Agentic AIOps,Agentic AI in Predictive AIOps: Enhancing IT Autonomy and Performance,Saaveethya Sivakumar,2024,https://doi.org/10.18535/ijsrm/v12i11.ec01,"The integration of Agentic Artificial Intelligence (AI) within Predictive AIOps (Artificial Intelligence for IT Operations) is revolutionizing the management of IT systems, significantly enhancing IT autonomy and performance (Smith &amp; Johnson, 2023). This article explores the potential of Agentic AI to empower AIOps platforms in proactively predicting, identifying, and resolving system issues. By leveraging predictive analytics and machine learning, AIOps not only enhances operational efficiency but also minimizes downtime and supports autonomous decision-making in complex IT environments (Lee et al., 2022). We examine the key roles that Agentic AI plays in improving performance metrics, optimizing resource allocation, and reducing the reliance on human intervention in critical system operations (Garcia &amp; Patel, 2024). Additionally, this study investigates the implications for IT infrastructure scalability, long-term resilience, and the evolution toward self-governing systems (Chen, 2023). The findings underscore the transformative impact of Agentic AI on future IT operations, showcasing its potential to foster higher levels of automation and operational intelligence.",Y
Agentic AIOps,Assurance-Centered Agentic AIOps (ACAA),Christopher Aaron O'Hara,2026,https://doi.org/10.31224/6641,"Industrial cyber operations in local-cloud IIoT/OT environments face a persistent systems-level gap: analytical components for detection, triage, and response exist in isolation, yet decision quality degrades at handoff boundaries where competing objectives -- security assurance, operational continuity, governance compliance, and human accountability -- must be reconciled under uncertainty. This thesis addresses that gap through the design, implementation, and proof-of-architecture evaluation of Assurance-Centered Agentic AIOps (ACAA), a layered decision-support architecture that composes statistical inference, machine learning, deep learning, generative AI, and agentic orchestration under deterministic policy controls, explicit uncertainty handling, and human-in-the-loop authority. The architecture is developed across seven progressive project chapters. A reproducible data workflow (P1) establishes ingestion contracts and provenance discipline over OpenRCA telecom telemetry. Statistical inference (P2) extracts governance-relevant structure from heterogeneous cyber observability data. Leakage-aware machine learning (P3) produces vulnerability prioritization priors over NVD/CISA KEV metadata under extreme class imbalance. Deep learning (P4) applies sequence and representation models to LANL cybersecurity telemetry with controlled ablations and guardrails. A generative RCA layer (P5) synthesizes bounded, confidence-labeled narrative hypotheses for analyst scaffolding. Policy-gated multi-agent orchestration (P6) operationalizes deterministic safety boundaries around adaptive reasoning. Finally, an integrative synthesis (P7) introduces parallel contested orchestration, where dual-branch reasoning (assurance versus continuity) is adjudicated by a meta-orchestrator with explicit human-in-the-loop escalation. The central finding is that decision quality in safety-critical cyber AI systems is a property of composed workflows rather than any single model. Contested orchestration produced meaningful branch differentiation, policy-gate invariants held without violation, and governance traceability was maintained end-to-end across all analytical layers.",Y
Agentic AIOps,Simple Agentic AI workflow for AIOPS (Agentic AIOps),A. Surendar,2025,https://doi.org/10.71097/ijsat.v16.i3.8359,"This paper showcases a simple Agentic AI framework aimed at improving AIOps through the deployment of autonomous, goal-oriented agents. Artificial Intelligence for IT Operations (AIOps) refers to the application of AI and machine learning to make IT operations run more efficiently and automatically. This work demonstrates AI agents for detecting problems, automated baselining deduplication of alerts and remediation. By removing unnecessary alerts, the AI agent for deduplication makes sure that only distinct and actionable alerts move to the next phase. Using anomaly detection algorithms, the operational system identifies unexpected things in operational data streams, such as logs, metrics, and traces. Agents employ ARIMA time-series modeling, and past events to baseline metrics and start resolving automatically in case of anomaly, such as by adding more resources or restarting services. Agents may make incident resolution work better by constantly improving their answers with feedback. This agentic workflow uses smart policy engines, automation frameworks, and observability tools to build a scalable base for proactive and self-healing AIOps settings. Using AI agents to accomplish different tasks in AIOPS makes things operate more smoothly and needs less interference from people.",Y
Agentic AIOps,Building AI Agents for Autonomous Clouds: Challenges and Design Principles,"Manish Shetty, Yinfang Chen, Gagan Somashekar, Minghua Ma, Yogesh Simmhan, Xuchao Zhang, Jonathan Mace, Dax Vandevoorde, Pedro Las-Casas, Shachee Mishra Gupta, Suman Nath, Chetan Bansal, Saravan Rajmohan",2024,https://doi.org/10.1145/3698038.3698525,"The rapid growth in the use of Large Language Models (LLMs) and AI Agents as part of software development and deployment is revolutionizing the information technology landscape. While code generation receives significant attention, a higher-impact application lies in using agents for the operational resilience of cloud services, which currently require significant human effort and domain knowledge. There is a growing interest in AI for IT Operations (AIOps), which aims to automate complex operational tasks, like fault localization and root cause analysis, reducing human intervention and customer impact. However, achieving the vision of autonomous and self-healing clouds through AIOps is hampered by the lack of standardized frameworks for building, evaluating, and improving AIOps agents. This vision paper lays the groundwork for such a framework by framing the requirements and then discussing design decisions that satisfy them. We also propose AIOpsLab, a prototype implementation leveraging agent-cloud-interface that orchestrates an application, injects real-time faults using chaos engineering, and interfaces with an agent to localize and resolve the faults. We report promising results and lay the groundwork to build a modular and robust framework for building, evaluating, and improving agents for autonomous clouds.",Y
Agentic AIOps,Resource Sharing in Public Cloud System with Evolutionary Multi-agent Artificial Swarm Intelligence,"Beiran Chen, Yi Zhang, George Iosifidis",2021,https://doi.org/10.1007/978-3-030-76352-7_25,,Y
Agentic AIOps,From DataOps to AIOps: How autonomous agents are revolutionizing data engineering,Soumen Chakraborty,2025,https://doi.org/10.30574/wjaets.2025.15.2.0650,"This comprehensive article examines the paradigm shift from traditional DataOps to AI-powered DataOps (AIOps), highlighting how autonomous agents are fundamentally transforming data engineering practices. The evolution represents not merely a technological upgrade but a complete reimagining of data pipeline management—moving from human-centered operations to self-learning, autonomous systems. The article explores the core pillars of AIOps: automated observability that contextually understands metrics beyond simple collection, predictive issue resolution that anticipates and prevents problems before they impact operations, and AI-driven metadata management that creates comprehensive knowledge graphs. It introduces the agentic framework comprising horizontal agents (resource optimization, performance monitoring, cost management, and security) and vertical agents (data quality, governance, domain-specific, and lineage tracking) that collaborate to create a truly intelligent ecosystem. The article further examines self-healing pipelines and emerging trends, including LLM-powered conversational interfaces, self-optimizing pipelines, and generative AI for documentation, while providing a phased implementation roadmap for organizations beginning their AIOps journey.",Y
Agentic AIOps,Challenges in Deploying Machine Learning: A Survey of Case Studies,"Andrei Paleyes, Raoul-Gabriel Urma, Neil D. Lawrence",2022,https://doi.org/10.1145/3533378,"In recent years, machine learning has transitioned from a field of academic research interest to a field capable of solving real-world business problems. However, the deployment of machine learning models in production systems can present a number of issues and concerns. This survey reviews published reports of deploying machine learning solutions in a variety of use cases, industries, and applications and extracts practical considerations corresponding to stages of the machine learning deployment workflow. By mapping found challenges to the steps of the machine learning deployment workflow, we show that practitioners face issues at each stage of the deployment process. The goal of this article is to lay out a research agenda to explore approaches addressing these challenges.",Y
Agentic AIOps,"Hybrid AIOps for Resilient Data Pipelines: Integrating Statistical Analysis, Graph Intelligence, and Autonomous Agents for Proactive Maintenance",Ramesh Somayajula,2025,https://doi.org/10.1109/gcat66372.2025.11368358,"The increased complexity of contemporary data pipelines with both high volume and high velocity and diverse data flows in a hybrid cloud-edge architecture necessitates an adaptable and resilient operations model. This paper will introduce the Hybrid AIOps that combines graph-based dependency intelligence and statistical anomaly detection with autonomous multi-agent coordination to provide the proactive maintenance and self-healing features in distributed data ecosystems. The suggested architecture combines both time-series analytics to detect trend deviations and graph intelligence models to represent topological dependencies among the data pipeline components to be able to localize the root-cause accurately. Moreover, an autonomous hierarchy of agents is made to use reinforcement learning and policy-based coordination to reconfigure dynamically pipeline resources to minimize downtime and maximize the quality of services. The experimental validation of simulated data workload using enterprise data has proven higher accuracy of fault-prediction by 19%, shorter mean time to recovery (MTTR) by 27% and overall improved system resilience. The paper identifies the synergies between statistical learning and graph-based reasoning as the capabilities of AIOps systems to evolve beyond the reactive monitoring to fully self-adaptive pipelines governance that is applicable to Industry 5.0 data infrastructure.",Y
Autonomous AIOps agents,"Agentic AI for IT and Beyond: A Qualitative Analysis of Capabilities, Challenges, and Governance","Hesham Allam, Juan Dempere",2025,https://doi.org/10.64044/j63vmh26,"Agentic AI represents a leap forward in AI, characterized by autonomous decision-making, adaptive reasoning, and innovative collaboration in dynamic environments. In their shift away from mere automation towards reflective, goal-oriented behavior, these promises are significant: in IT operations, real-time analytics, strategic decision-making, and more. Nevertheless, and notwithstanding its increasing importance in industry, there is no coherent framework within the academic literature that captures the technological, ethical, and governance aspects of Agentic AI. This study employs a qualitative approach, incorporating thematic analysis and comparative case studies, to interpret the results from academic sources, industrial documents, and regulatory publications from 2023 and 2024. The paper integrates technical with interdisciplinary literature and considers four key areas: (1) the functional architecture and mechanisms of Agentic AI, (2) operational value via AIOps platforms including Moogsoft and Dyna-trace, (3) evolving risks such as bias, data abuse, and autonomy misalignment, and (4) regulatory and ethical lacunae in existing oversight statues. Further, the work uncovers recurring themes, such as explainability, human-AI collaboration, and fairness that are essential for the design and deployment of these systems in the future. The work surfaces recurring themes, like explainability, human-AI partnership, and fairness that are crucial to the way in which these systems are designed and used in the future. We are still at the phase of approximate common knowledge in AI. To solve this and other pressing matters, the paper argues for using a point of view, called Agentic AI in-the-making-novel methodology that centers on an ""eye-on-eye"" interaction between human and AI agencies. By merging theoretical models with practical instances, the paper establishes a holistic frame for deploying and constraining potential Agentic AI. It also provides an initial slate of recommendations to policymakers, innovators, and industry leaders on how to encourage responsible innovation that focuses on transparency, accountability, and interdisciplinary collaboration in the development of new intelligent systems.",Y
