Title,Summary
"A survey of aiops in the era of large language models","… In summary, comprehensive studies exploring AIOps in the era of LLMs are lacking. In this study, we present the irst comprehensive survey that covers the entire process of AIOps in the …"
"[PDF] Benchmarking AIOps-Driven Fault Prediction and Prevention in Cloud-Native Environments","… AIOps. This paper has a comprehensive plan for the proactive fault prediction, detection, and mitigation of cloud-native infrastructures with the use of AI and AIOps. … integrated with AIOps-…"
"[PDF] Beyond devops: The evolution toward intelligent it operations with aiops and mlops","… AIOps streamline the monitoring process through intelligent … AIOps and MLOps are revolutionizing IT operations and … of DevOps has driven the emergence of AIOps and MLOps on …"
"[HTML] A practical approach to defining a framework for developing an agentic AIOps system","… for IT Operations (Agentic AIOps), an approach that integrates … and developing an Agentic AIOps system that proactively … We conclude that this Agentic AIOps system represents a …"
"Preliminary Results of a Systematic Mapping Study of AIOps Practices and Trends","… This work aims at identifying the main AIOps techniques … strategies most often applied on AIOps. Classical machine learning … quality attributes improved by applying AIOps techniques. …"
"Observability and AIOps in Cloud-Scale DevOps: Technologies, Architectures, Challenges, and Future Trends","… Artificial Intelligence for IT Operations (AIOps) leverages … a comprehensive review of observability and AIOps for cloud-scale … In two enterprise case studies, integration of AIOps with ob…"
"[PDF] AIOPS EVOLUTION: FROM REACTIVE MONITORING TO PREDICTIVE SERVICE MANAGEMENT IN HYBRID CLOUD ENVIRONMENTS","… This piece tells how AIOps came to fruition, from rulebased … This study examines leading AIOps techniques, including … of AIOps. Directions for future work, including deep learning, …"
"Algorithmic AIOps and AI-Driven DevOps for Intelligent Software Deployment and Operations in Cloud-Native Enterprises","… and empirical synthesis of how AIOps and AI-driven DevOps … ), this study integrates broader AIOps research on anomaly … The article positions AIOps not as a standalone toolset but as …"
"Improving the Infrastructures of AIOps by Bridging the Data Gap","… AIOps solutions, we begin by analyzing AIOps practices in real-world projects. We characterize 119 AIOps … -based projects to identify the distinct traits of AIOps practices. In particular, we …"
"The State of AIOps: Adoption, Trends, and Organizational Strategies in IT Operation","… of AIOps and view it as an integral part of the next generation of IT services. It’s safe to say that AIOps … trends in IT operations and AIOps adoption in the context of Indian IT organisations. …"
"Utilizing AIOps for Predictive Maintenance in Hybrid Cloud Environments","… In this paper, we share our experience with the use of AIOps to implement predictive … AIOps can be utilized for predictive maintenance in a hybrid cloud setting and 2) assess the AIOps' …"
"Enhancing site reliability engineering through AIOps: A framework for next-generation IT operations","… This paper proposes a framework for integrating AIOps … AIOps, identifying their respective strengths and limitations. I then present our integrated framework, detailing how AIOps …"
"Designing an AIOps (Artificial Intelligent Operations) Framework for Energy-Efficient IT Operations: A Case Study on Cloud Computing Environment","… Although AIOps has always concentrated on raising … This work presents a new AIOps architecture intended especially … of An allencompassing AIOps framework architecture, including …"
"EXPLAINABLE AIOPS: A DEEP SURVEY ON TRUSTWORTHY AND TRANSPARENT AI IN CLOUD-SCALE DEVOPS AUTOMATION","… Artificial Intelligence (XAI) into AIOps has emerged as a key … However, the landscape of explainable AIOps is fragmented … We develop a taxonomy of explainable AIOps techniques, …"
"[PDF] Operationalizing Trust in AIOps","Modern cloud systems generate overwhelming amounts of telemetry, making incident diagnosis increasingly difficult and motivating interest in AI-assisted observability. Despite this …"
"KAIOPS: A Platform Solution of End-to-End Multi-Modal AIOps for AI Training at Scale","… Beyond anomaly detection and classification, production-grade AIOps solutions must deliver … In this paper, we propose KAIOPS, an end-to-end AIOps solution of anomaly management …"
"[PDF] Monitoring and Maintaining Machine Learning Models Against Concept Drift in the Context of AIOps Systems","… For the remainder of the thesis, we focus on one particular category of AI systems, namely AIOps systems. Thus, we experiment with the following AIOps system: failure prediction, …"
"Edge-Enabled Intelligence: Leveraging Cloudless AI and AIOps Frameworks","The rise in online shopping has made it much easier for criminals to commit fraud, so new ways to find and stop it are needed. This paper presents a new way to improve fraud detection …"
"From Ops to Experience: AIOps-Enabled MLOps with Identity-Aware and Customer-Informed Pipelines","… To address these limitations, we propose a novel MLOps framework that integrates AIOps for anomaly detection and self-healing, IAM for policy-based access governance, and customer…"
"[PDF] AIOps in cloud computing: Automation performance Monitoring with AI and New Relic","… This research study analyzes AIOps applications within cloud environments through … aspects of implementing AIOps in contemporary cloud-based platforms. This paper studies AIOps …"
"Data-Driven and Automated AIOps for IP Network Management","… To objectively evaluate the performance of our AIOps system, we compare it against traditional manual operations and two state-of-the-art IP network fault management systems: …"
"Beyond Reactive IT: Quantifying the Transformative Impact of AIOps on Service Management","… , AIOps enables contextual enrichment of incidents, automated remediation workflows, and data-driven change risk assessment. This paper presents a maturity model for AIOps … AIOps …"
"AIOpsLab in Action: An Open Platform for AIOps Research","… earlier [30], the emerging adoption of AIOps, ie, the use of AI to … We are on the cusp of AIOps agents being able to … • AIOps researchers who have been working on AIOps related topics …"
"Systematic Literature Review of Agentic AI and AIOps Across Software Lifecycle","… ) and AI for IT Operations (AIOps) are evolving concepts that bring … Operations is the most advanced: AIOps capabilities have … gain the most by first using AIOps, then piloting AI-assisted …"
"[PDF] The Rise of AI Operations (AIOps) Specialists in Enterprise Workflows","… -driven infrastructures, AIOps specialists are becoming essential … AIOps roles, the skills required, and their strategic impact on enterprise workflow efficiency. It also highlights how AIOps …"
"When AIOps Become"""" AI Oops"""": Subverting LLM-driven IT Operations via Telemetry Manipulation","… system telemetry to mislead AIOps agents into taking actions … Ultimately, this work exposes AIOps as an emerging attack … “AIOps agent” to refer to an agent that performs an AIOps task…"
"Advanced Observability and AIOps Framework for Intelligent IT Operations Management","… This paper presents a comprehensive observability and AIOps (Artificial Intelli-gence for IT … The results indi-cate that AIOps-driven observability can substantially improve operational …"
"The Synergy of Observability and AIOps: Driving Proactive Operational Intelligence","… Intelligence for IT Operations (AIOps) in modern digital … system visibility, while AIOps applies machine learning algorithms to … foundation for increasingly sophisticated AIOps capabilities. …"
"From Agile DevOps to AIOps: Transforming Infrastructure Operations Through AI-Driven Automation","… AIOps proposes machine learning and automation to eliminate this restriction. This paper explores the use of AIOps in … By drawing the comparison between DevOps and AIOps …"
"[PDF] Growing Demand for AI Operations (AIOps) Experts in Automation-Driven Workplaces","… This shift has increased the demand for specialized AIOps … This paper explores the drivers behind the rising need for AIOps … the long-term impact of AIOps on workforce structures and …"
"[PDF] Integrating large language model agents in AIOps: Research and development of the MCP protocol","The integration of large language model (LLM) agents into Artificial Intelligence for IT Operations (AIOps) represents a transformative approach to enhancing IT system management. …"
"Saliency Time-Series Anomaly Detection Service for AIOps","Artificial Intelligence for IT Operations (AIOps) platform needs to monitor the status of massive microservices to alert potential failures. In China Mobile Cloud, we develop a time-series …"
"[PDF] The Effect of AIOps on R&D Efficiency in Chinese Technology Enterprises: The Moderating Role of Human-AI Integration","… (AIOps) implementation on research and development (R&D) efficiency in Chinese technology enterprises. Using a structured survey approach, we examine how AIOps … that AIOps …"
"[PDF] Cognitive Cloud Resilience: Integrating AIOps and MLOps for Predictive Fault Management and Compliance Automation","… )—a unified AIOps–MLOps … AIOps, CCRF ensures reproducibility, sustainability, and auditability within mission-critical workloads. The study concludes that the convergence of AIOps …"
"Reducing Mean Time to Repair (MTTR) with AIOps: An Advanced Approach to IT Operations Management","… AIOps can significantly improve IT service and system reliability along with operational efficiency. The findings of this research suggest that using AIOps … adoption of AIOps can lead to …"
"Edge-Enabled Intelligence: Leveraging Cloudless AI and AIOps Frameworks for Advanced Fraud Detection in Retail Transactions","The rise in online shopping has made it much easier for criminals to commit fraud, so new ways to find and stop it are needed. This paper presents a new way to improve fraud detection …"
"[PDF] The Evolution of DevOps to AIOps: A Conceptual Framework for Intelligent Automation","… automation that bridges the gap between DevOps and AIOps. By examining the essential components and processes involved in AIOps, this study provides organizations with a …"
"[PDF] Automated Incident Response and Self-Healing Mechanisms in Intelligent IT Operations (AIOps)","… (AIOps) as a transformative approach to monitoring, event correlation, and automated incident management. AIOps … Within the AIOps paradigm, automated incident response and self…"
"Hyper-Automated AIOps for Unified Operations Orchestration in Industry","… as """"AIOps islands"""" [8], where AI-driven insights fall short in terms of coordinated operational reactions. This paper introduces OmniOrchestrate, a hyper-automated AIOps … of AIOps [12]: …"
"AI Report-Federated AIOps for Multi-Cluster OpenShift","… AIOps can reduce alert duplication and optimize incident management, which provides an open-source alternative to official AIOps … effect of Federated AIOps in improving operational …"
"Empowering aiops: Leveraging large language models for it operations management","… (ITOM), commonly referred to as AIOps, offers substantial potential for automating workflows, … persistent challenges in AIOps and enhance the capabilities of IT operations management. …"
"Deep anomaly detection of temporal heterogeneous data in AIOps: a survey","… of leveraging LLMs for AD in AIOps within the communication domain, highlighting their … LLMs, we provide valuable insights and guidance for future research efforts in AD for AIOps. …"
"[HTML] AIOps for log anomaly detection in the era of LLMs: A systematic literature review","Modern IT systems generate large volumes of log data that challenge timely and effective anomaly detection. Traditional methods often require intensive feature engineering and …"
"AIOps-Powered Entrepreneurship: Harnessing AI for Operational Excellence and Rapid Growth","… Understanding the nuances of AIOps in entrepreneurship was pivotal for … of AIOps adoption. The rationale behind this study lay in the recognition of the transformative potential of AIOps …"
"AI-Driven AIOps for Proactive Incident Detection and Auto-Remediation in AWS Cloud Environments","… This paper presents an AI-driven AIOps framework for proactive incident detection and … a practical roadmap for intelligent operations (AIOps) in modern enterprise environments, …"
"A Framework For Real-Time Root Cause Analysis In Connected Vehicle Iot Data Streams Using Aiops","… In this paper, we propose a novel, multi-layered architecture that integrates AIOps (Artificial … The remainder of this section examines the key challenges to implementing the AIOps …"
"From Alerts to Insights: An Integrated AIOps Framework for Multi-Modal Fault Warning and Causal Root-Cause Recommendation","The escalating complexity of modern IT infrastructures necessitates advanced operational frameworks capable of preemptive fault management. This paper presents the design and …"
"Aiops–driven Adaptive Anomaly Detection in Evolving Cloud Environments using Transfer Learning","… This thesis proposes an AIOps-driven adaptive anomaly detection framework that integrates drift detection and Transfer Learning for real-time monitoring of containerized workloads. By …"
"Summary Report of the 6th Cloud Intelligence/AIOps Workshop 2025","The International Workshop on Cloud Intelligence / AIOps is a forum for researchers, scientists, engineers, and practitioners to share and learn AI/ML powered DevOps solutions for …"
"AIOPS-Enabled IoT Framework for Intelligent Early Warning and Disaster Management Systems","… This chapter presents a novel AIOps-enabled IoT framework … Artificial Intelligence for IT Operations (AIOps) to enable real-… for scalable data handling, the AIOps layer for deep learning-…"
"[PDF] Hybrid Cloud Intelligence: AIOps-Driven Orchestration for Financial and Cross-Domain Infrastructure Optimization","… This review synthesizes the state of the art on AIOpsdriven orchestration for hybrid cloud … The review surfaces six persistent gaps: end-to-end convergence of AIOps+MLOps under …"
"[PDF] Automated Incident Response in Hospital IT through AIOps-Driven DevOps Pipelines","… This paper proposes an AIOps-driven DevOps pipeline that automates incident detection and remediation across hospital IT environments by combining statistical anomaly analysis, …"
"[PDF] The Effect of AIOps on Digital Transformation in Chinese High Tech Enterprises: The Moderating Role of Human-AI Interaction","This study investigates the influence of Artificial Intelligence for IT Operations (AIOps) on the digital transformation of high-tech enterprises in China, with a specific focus on the …"
"A Comprehensive Survey on AIOps for Alert Storm Management in Microservices: Understanding, Techniques, and Metrics","Artificial Intelligence for IT Operations (AIOps) has emerged as a critical paradigm for maintaining the high availability and reliability of large-scale distributed systems. As modern …"
"The effect of AIOPs and automation on software development practices","… to fill this knowledge vacuum, this paper investigates how automation is used in AIOps. … on AIOps are identified in prior literature? – How automation affects the use of AIOPs in the …"
"[HTML] Log anomaly detection in AIOps: A real-world implementation using Large Language Models","This study investigates the application of Large Language Models (LLMs) for log anomaly detection within the emerging field of AIOps, where large-scale operational logs are …"
"Enhancing Retail System Resilience Through Integrated Cloudless AI and AIOps: A Framework for Real-Time Market Adaptation and Consumer Behavior Response","… AIOps concurrently uses artificial intelligence and machine learning to automate IT … By suggesting and assessing a complete framework for integrating cloudless AI and AIOps especially …"
"[PDF] Sustainable Cloud-Native Automation: Benchmarking AIOps and MLOps for Predictive, Secure, and Green Infrastructure Management","… in AIOps and MLOps offer transformative potential to address these challenges. AIOps enhances … When integrated, AIOps and MLOps establish a closed-loop automation cycle where …"
"Aiopsarena: Scenario-oriented evaluation and leaderboard for aiops algorithms in microservices","AIOps algorithms playa crucial role in the mainte-nance of microservice systems. Many previous benchmarks' per-performance leaderboard provides valuable guidance for selecting …"
"Augmenting Human Decision-Making: Exploring AI-Driven Automation in IT Operations (AIOps) for Enhanced Efficiency and Innovation","This article analyzes how artificial intelligence (AI) has changed the IT industry, ushering in an age of unmatched technical growth and new potential for human-AI communication. …"
"Multi-Agent Systems in AIOps: Enhancing Detection, Diagnosis, and Remediation","… AIOps framework. We propose a decentralized architecture where multiple autonomous agents, developed primarily in Python, work together to achieve AIOps … core AIOps capabilities …"
"Transforming Food Systems: Harnessing the Power of AIOps and MLOps in AgriTech","The rapid evolution of artificial intelligence (AI) technologies is revolutionizing food production, enhancing efficiency, sustainability, and scalability. This chapter explores the …"
"Simple Agentic AI workflow for AIOPS (Agentic AIOps)","… AIOps through the deployment of autonomous, goal-oriented agents. Artificial Intelligence for IT Operations (AIOps) refers … AIOps settings. Using AI agents to accomplish different tasks in …"
"Aiops for reliability: Evaluating large language models for automated root cause analysis in chaos engineering","As modern IT infrastructures grow in complexity, root cause analysis (RCA) is becoming increasingly crucial for Site Reliability Engineering (SRE). Traditional RCA relies heavily on …"
"Hybrid AIOps for Resilient Data Pipelines: Integrating Statistical Analysis, Graph Intelligence, and Autonomous Agents for Proactive Maintenance","… This paper will introduce the Hybrid AIOps that combines graph-based dependency … -based reasoning as the capabilities of AIOps systems to evolve beyond the reactive monitoring to …"
"Aiopslab: A holistic framework to evaluate ai agents for enabling autonomous clouds","… Addressing this gap requires a framework that aids the design, development, and evaluation of AIOps agents within an interactive environment, a key contribution of this paper. …"
"AI in DevOps: A Framework for Predictive Maintenance and Automated Issue Resolution","… DevOps is artificial intelligence for IT operations (AIOps). Combining artificial intelligence with machine learning, AIOps compiles, analyzes, and correlates massive amounts of disparate …"
"Prepared for the Unknown: Adapting AIOps Capacity Forecasting Models to Data Changes","… RELATED WORK This section begins with an overview of the AIOps domain and the challenges faced by AIOps models due to changes in data over time, particularly in applications …"
"[PDF] Autonomous AIOps Frameworks for Self-Healing Critical Infrastructure in Hybrid and Multi-Cloud Environments","… This research investigates how autonomous AIOps frameworks can underpin self-healing … Understanding and designing effective autonomous AIOps frameworks requires deep …"
"Integrating Few-Shot and Transfer Learning: The Role of Transfer Identifiers in Closed-System AIOps","… of a transferability indicator within the AIOps framework for the … We propose an AIOps framework that integrates few-shot … , forming a foundation for trustworthy AIOps. (3) Knowledge …"
"[PDF] Intelligent DevOps and AIOps: Automating Deployment, Monitoring, and Incident Response","The growing complexity of enterprise processes and the demand for operational efficiency have accelerated the adoption of AI-based process mining as a cornerstone of business …"
"A Pedagogical Approach for Evaluating AIOps","Troubleshooting and fault detection by identifying root causes of issues is a key activity in IT Operations when maintaining large, complex systems. During the past few years, AI for IT …"
"NextGen AI-Infused IT Operations Model: Revolutionizing Application Maintenance for Modern Enterprises","… The final stages involve integrating AIOps and automation tools to enable … For instance, research on AIOps highlights its ability to analyze vast datasets, identify patterns, and predict …"
"From Reactive IT to Cognitive Operations: The Evolution of AI-Driven DevOps in Large-Scale Software Systems","… AI-driven DevOps, often encapsulated under the umbrella of AIOps, provides a framework … We examine the historical evolution of DevOps, contextualize the emergence of AIOps within …"
"[PDF] MCP Protocol's Capability in Integrating LLM Models: A Study within High-Tech AIOps R&D Processes","… , offering actionable insights for AIOps engineers. Second, we … MCP within enterprise AIOps environments, bridging the gap … By aligning network protocol research with emerging AIOps …"
"Toward Context-Aware Anomaly Detection for AIOps in Microservices Using Dynamic Knowledge Graphs","Microservice applications are omnipresent due to their advantages, such as scalability, flexibility and consequentially resource cost efficiency. The loosely-coupled microservices can be …"
"CoE-Ops: Collaboration of LLM-based Experts for AIOps Question-Answering","… AIOps implementations that utilize LLMs for DevOps optimization, a critical challenge lies in selecting appropriate AIOps models for different AIOps … bottleneck for AIOps advancements. …"
"Large Language Models for Online Log Parsing in AIOps","Logs play a crucial role in modern software development by providing essential runtime information. Automated log analysis begins with log parsing, which transforms unstructured log …"
"Can We Recycle Our Old Models? An Empirical Evaluation of Model Selection Mechanisms for AIOps Solutions","… Existing AIOps solutions usually maintain AIOps models … However, there is no prior work in the AIOps area that assesses … in selecting the optimal AIOps models that were built in the past …"
"[PDF] Evaluation, Interpretation, and Maintenance of Machine Learning Models for IT Operations","… We assess the factors that impact the consistency of AIOps model interpretations. We … from AIOps models. We evaluate model update strategies for maintaining AIOps solutions in terms …"
"[PDF] Adaptive Governance in Financial IT Ecosystems: Merging MLOps, AIOps, and Hybrid Methodologies for Agile Compliance","… This review synthesizes current developments in AIOps, … Through the integration of AIOps for observability, MLOps for … Empirical findings across literature suggest that the fusion of AIOps …"
"[PDF] HUMAN-AI COLLABORATION IN CLOUD AUTOMATION: EMPOWERING TEAMS WITH INTELLIGENT TOOLS","… (AIOps) has emerged as a cornerstone of modern cloud management strategies, with the global AIOps … Fortune 1000 companies have now implemented AIOps solutions, resulting in an …"
